municipio;distrito;tipo;caminho_relativo;url;motivo
Aguiar da Beira;Guarda;OSM:gis_osm_railways_free_1;data/Guarda/Aguiar_da_Beira/OSM_gis_osm_railways_free_1_Aguiar_da_Beira.zip;http://localhost:8000/data/Guarda/Aguiar_da_Beira/OSM_gis_osm_railways_free_1_Aguiar_da_Beira.zip;HTTP 404
Almeida;Guarda;OSM:gis_osm_places_a_free_1;data/Guarda/Almeida/OSM_gis_osm_places_a_free_1_Almeida.zip;http://localhost:8000/data/Guarda/Almeida/OSM_gis_osm_places_a_free_1_Almeida.zip;HTTP 404
Celorico da Beira;Guarda;OSM:gis_osm_natural_a_free_1;data/Guarda/Celorico_da_Beira/OSM_gis_osm_natural_a_free_1_Celorico_da_Beira.zip;http://localhost:8000/data/Guarda/Celorico_da_Beira/OSM_gis_osm_natural_a_free_1_Celorico_da_Beira.zip;HTTP 404
Celorico da Beira;Guarda;OSM:gis_osm_places_a_free_1;data/Guarda/Celorico_da_Beira/OSM_gis_osm_places_a_free_1_Celorico_da_Beira.zip;http://localhost:8000/data/Guarda/Celorico_da_Beira/OSM_gis_osm_places_a_free_1_Celorico_da_Beira.zip;HTTP 404
Fornos de Algodres;Guarda;OSM:gis_osm_natural_a_free_1;data/Guarda/Fornos_de_Algodres/OSM_gis_osm_natural_a_free_1_Fornos_de_Algodres.zip;http://localhost:8000/data/Guarda/Fornos_de_Algodres/OSM_gis_osm_natural_a_free_1_Fornos_de_Algodres.zip;HTTP 404
Gouveia;Guarda;OSM:gis_osm_natural_a_free_1;data/Guarda/Gouveia/OSM_gis_osm_natural_a_free_1_Gouveia.zip;http://localhost:8000/data/Guarda/Gouveia/OSM_gis_osm_natural_a_free_1_Gouveia.zip;HTTP 404
Gouveia;Guarda;OSM:gis_osm_railways_free_1;data/Guarda/Gouveia/OSM_gis_osm_railways_free_1_Gouveia.zip;http://localhost:8000/data/Guarda/Gouveia/OSM_gis_osm_railways_free_1_Gouveia.zip;HTTP 404
Manteigas;Guarda;OSM:gis_osm_railways_free_1;data/Guarda/Manteigas/OSM_gis_osm_railways_free_1_Manteigas.zip;http://localhost:8000/data/Guarda/Manteigas/OSM_gis_osm_railways_free_1_Manteigas.zip;HTTP 404
Mêda;Guarda;OSM:gis_osm_railways_free_1;data/Guarda/Mêda/OSM_gis_osm_railways_free_1_Mêda.zip;http://localhost:8000/data/Guarda/M%C3%AAda/OSM_gis_osm_railways_free_1_M%C3%AAda.zip;HTTP 404
Seia;Guarda;OSM:gis_osm_railways_free_1;data/Guarda/Seia/OSM_gis_osm_railways_free_1_Seia.zip;http://localhost:8000/data/Guarda/Seia/OSM_gis_osm_railways_free_1_Seia.zip;HTTP 404
Trancoso;Guarda;OSM:gis_osm_natural_a_free_1;data/Guarda/Trancoso/OSM_gis_osm_natural_a_free_1_Trancoso.zip;http://localhost:8000/data/Guarda/Trancoso/OSM_gis_osm_natural_a_free_1_Trancoso.zip;HTTP 404
Trancoso;Guarda;OSM:gis_osm_protected_areas_a_free_1;data/Guarda/Trancoso/OSM_gis_osm_protected_areas_a_free_1_Trancoso.zip;http://localhost:8000/data/Guarda/Trancoso/OSM_gis_osm_protected_areas_a_free_1_Trancoso.zip;HTTP 404
Alvaiázere;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Alvaiázere/OSM_gis_osm_places_a_free_1_Alvaiázere.zip;http://localhost:8000/data/Leiria/Alvai%C3%A1zere/OSM_gis_osm_places_a_free_1_Alvai%C3%A1zere.zip;HTTP 404
Alvaiázere;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Alvaiázere/OSM_gis_osm_protected_areas_a_free_1_Alvaiázere.zip;http://localhost:8000/data/Leiria/Alvai%C3%A1zere/OSM_gis_osm_protected_areas_a_free_1_Alvai%C3%A1zere.zip;HTTP 404
Alvaiázere;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Alvaiázere/OSM_gis_osm_railways_free_1_Alvaiázere.zip;http://localhost:8000/data/Leiria/Alvai%C3%A1zere/OSM_gis_osm_railways_free_1_Alvai%C3%A1zere.zip;HTTP 404
Ansião;Leiria;OSM:gis_osm_natural_a_free_1;data/Leiria/Ansião/OSM_gis_osm_natural_a_free_1_Ansião.zip;http://localhost:8000/data/Leiria/Ansi%C3%A3o/OSM_gis_osm_natural_a_free_1_Ansi%C3%A3o.zip;HTTP 404
Ansião;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Ansião/OSM_gis_osm_places_a_free_1_Ansião.zip;http://localhost:8000/data/Leiria/Ansi%C3%A3o/OSM_gis_osm_places_a_free_1_Ansi%C3%A3o.zip;HTTP 404
Ansião;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Ansião/OSM_gis_osm_protected_areas_a_free_1_Ansião.zip;http://localhost:8000/data/Leiria/Ansi%C3%A3o/OSM_gis_osm_protected_areas_a_free_1_Ansi%C3%A3o.zip;HTTP 404
Ansião;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Ansião/OSM_gis_osm_railways_free_1_Ansião.zip;http://localhost:8000/data/Leiria/Ansi%C3%A3o/OSM_gis_osm_railways_free_1_Ansi%C3%A3o.zip;HTTP 404
Batalha;Leiria;OSM:gis_osm_natural_a_free_1;data/Leiria/Batalha/OSM_gis_osm_natural_a_free_1_Batalha.zip;http://localhost:8000/data/Leiria/Batalha/OSM_gis_osm_natural_a_free_1_Batalha.zip;HTTP 404
Batalha;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Batalha/OSM_gis_osm_places_a_free_1_Batalha.zip;http://localhost:8000/data/Leiria/Batalha/OSM_gis_osm_places_a_free_1_Batalha.zip;HTTP 404
Batalha;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Batalha/OSM_gis_osm_protected_areas_a_free_1_Batalha.zip;http://localhost:8000/data/Leiria/Batalha/OSM_gis_osm_protected_areas_a_free_1_Batalha.zip;HTTP 404
Batalha;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Batalha/OSM_gis_osm_railways_free_1_Batalha.zip;http://localhost:8000/data/Leiria/Batalha/OSM_gis_osm_railways_free_1_Batalha.zip;HTTP 404
Bombarral;Leiria;OSM:gis_osm_natural_a_free_1;data/Leiria/Bombarral/OSM_gis_osm_natural_a_free_1_Bombarral.zip;http://localhost:8000/data/Leiria/Bombarral/OSM_gis_osm_natural_a_free_1_Bombarral.zip;HTTP 404
Bombarral;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Bombarral/OSM_gis_osm_places_a_free_1_Bombarral.zip;http://localhost:8000/data/Leiria/Bombarral/OSM_gis_osm_places_a_free_1_Bombarral.zip;HTTP 404
Bombarral;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Bombarral/OSM_gis_osm_protected_areas_a_free_1_Bombarral.zip;http://localhost:8000/data/Leiria/Bombarral/OSM_gis_osm_protected_areas_a_free_1_Bombarral.zip;HTTP 404
Castanheira de Pêra;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Castanheira_de_Pêra/OSM_gis_osm_places_a_free_1_Castanheira_de_Pêra.zip;http://localhost:8000/data/Leiria/Castanheira_de_P%C3%AAra/OSM_gis_osm_places_a_free_1_Castanheira_de_P%C3%AAra.zip;HTTP 404
Castanheira de Pêra;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Castanheira_de_Pêra/OSM_gis_osm_protected_areas_a_free_1_Castanheira_de_Pêra.zip;http://localhost:8000/data/Leiria/Castanheira_de_P%C3%AAra/OSM_gis_osm_protected_areas_a_free_1_Castanheira_de_P%C3%AAra.zip;HTTP 404
Castanheira de Pêra;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Castanheira_de_Pêra/OSM_gis_osm_railways_free_1_Castanheira_de_Pêra.zip;http://localhost:8000/data/Leiria/Castanheira_de_P%C3%AAra/OSM_gis_osm_railways_free_1_Castanheira_de_P%C3%AAra.zip;HTTP 404
Figueiró dos Vinhos;Leiria;OSM:gis_osm_natural_a_free_1;data/Leiria/Figueiró_dos_Vinhos/OSM_gis_osm_natural_a_free_1_Figueiró_dos_Vinhos.zip;http://localhost:8000/data/Leiria/Figueir%C3%B3_dos_Vinhos/OSM_gis_osm_natural_a_free_1_Figueir%C3%B3_dos_Vinhos.zip;HTTP 404
Figueiró dos Vinhos;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Figueiró_dos_Vinhos/OSM_gis_osm_protected_areas_a_free_1_Figueiró_dos_Vinhos.zip;http://localhost:8000/data/Leiria/Figueir%C3%B3_dos_Vinhos/OSM_gis_osm_protected_areas_a_free_1_Figueir%C3%B3_dos_Vinhos.zip;HTTP 404
Figueiró dos Vinhos;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Figueiró_dos_Vinhos/OSM_gis_osm_railways_free_1_Figueiró_dos_Vinhos.zip;http://localhost:8000/data/Leiria/Figueir%C3%B3_dos_Vinhos/OSM_gis_osm_railways_free_1_Figueir%C3%B3_dos_Vinhos.zip;HTTP 404
Leiria;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Leiria/OSM_gis_osm_places_a_free_1_Leiria.zip;http://localhost:8000/data/Leiria/Leiria/OSM_gis_osm_places_a_free_1_Leiria.zip;HTTP 404
Pedrógão Grande;Leiria;OSM:gis_osm_natural_a_free_1;data/Leiria/Pedrógão_Grande/OSM_gis_osm_natural_a_free_1_Pedrógão_Grande.zip;http://localhost:8000/data/Leiria/Pedr%C3%B3g%C3%A3o_Grande/OSM_gis_osm_natural_a_free_1_Pedr%C3%B3g%C3%A3o_Grande.zip;HTTP 404
Pedrógão Grande;Leiria;OSM:gis_osm_places_a_free_1;data/Leiria/Pedrógão_Grande/OSM_gis_osm_places_a_free_1_Pedrógão_Grande.zip;http://localhost:8000/data/Leiria/Pedr%C3%B3g%C3%A3o_Grande/OSM_gis_osm_places_a_free_1_Pedr%C3%B3g%C3%A3o_Grande.zip;HTTP 404
Pedrógão Grande;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Pedrógão_Grande/OSM_gis_osm_protected_areas_a_free_1_Pedrógão_Grande.zip;http://localhost:8000/data/Leiria/Pedr%C3%B3g%C3%A3o_Grande/OSM_gis_osm_protected_areas_a_free_1_Pedr%C3%B3g%C3%A3o_Grande.zip;HTTP 404
Pedrógão Grande;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Pedrógão_Grande/OSM_gis_osm_railways_free_1_Pedrógão_Grande.zip;http://localhost:8000/data/Leiria/Pedr%C3%B3g%C3%A3o_Grande/OSM_gis_osm_railways_free_1_Pedr%C3%B3g%C3%A3o_Grande.zip;HTTP 404
Pombal;Leiria;OSM:gis_osm_protected_areas_a_free_1;data/Leiria/Pombal/OSM_gis_osm_protected_areas_a_free_1_Pombal.zip;http://localhost:8000/data/Leiria/Pombal/OSM_gis_osm_protected_areas_a_free_1_Pombal.zip;HTTP 404
Porto de Mós;Leiria;OSM:gis_osm_natural_a_free_1;data/Leiria/Porto_de_Mós/OSM_gis_osm_natural_a_free_1_Porto_de_Mós.zip;http://localhost:8000/data/Leiria/Porto_de_M%C3%B3s/OSM_gis_osm_natural_a_free_1_Porto_de_M%C3%B3s.zip;HTTP 404
Porto de Mós;Leiria;OSM:gis_osm_railways_free_1;data/Leiria/Porto_de_Mós/OSM_gis_osm_railways_free_1_Porto_de_Mós.zip;http://localhost:8000/data/Leiria/Porto_de_M%C3%B3s/OSM_gis_osm_railways_free_1_Porto_de_M%C3%B3s.zip;HTTP 404
Alenquer;Lisboa;OSM:gis_osm_natural_a_free_1;data/Lisboa/Alenquer/OSM_gis_osm_natural_a_free_1_Alenquer.zip;http://localhost:8000/data/Lisboa/Alenquer/OSM_gis_osm_natural_a_free_1_Alenquer.zip;HTTP 404
Amadora;Lisboa;OSM:gis_osm_natural_a_free_1;data/Lisboa/Amadora/OSM_gis_osm_natural_a_free_1_Amadora.zip;http://localhost:8000/data/Lisboa/Amadora/OSM_gis_osm_natural_a_free_1_Amadora.zip;HTTP 404
Arruda dos Vinhos;Lisboa;OSM:gis_osm_natural_a_free_1;data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_natural_a_free_1_Arruda_dos_Vinhos.zip;http://localhost:8000/data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_natural_a_free_1_Arruda_dos_Vinhos.zip;HTTP 404
Arruda dos Vinhos;Lisboa;OSM:gis_osm_places_a_free_1;data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_places_a_free_1_Arruda_dos_Vinhos.zip;http://localhost:8000/data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_places_a_free_1_Arruda_dos_Vinhos.zip;HTTP 404
Arruda dos Vinhos;Lisboa;OSM:gis_osm_protected_areas_a_free_1;data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_protected_areas_a_free_1_Arruda_dos_Vinhos.zip;http://localhost:8000/data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_protected_areas_a_free_1_Arruda_dos_Vinhos.zip;HTTP 404
Arruda dos Vinhos;Lisboa;OSM:gis_osm_railways_free_1;data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_railways_free_1_Arruda_dos_Vinhos.zip;http://localhost:8000/data/Lisboa/Arruda_dos_Vinhos/OSM_gis_osm_railways_free_1_Arruda_dos_Vinhos.zip;HTTP 404
Azambuja;Lisboa;OSM:gis_osm_natural_a_free_1;data/Lisboa/Azambuja/OSM_gis_osm_natural_a_free_1_Azambuja.zip;http://localhost:8000/data/Lisboa/Azambuja/OSM_gis_osm_natural_a_free_1_Azambuja.zip;HTTP 404
Cadaval;Lisboa;OSM:gis_osm_natural_a_free_1;data/Lisboa/Cadaval/OSM_gis_osm_natural_a_free_1_Cadaval.zip;http://localhost:8000/data/Lisboa/Cadaval/OSM_gis_osm_natural_a_free_1_Cadaval.zip;HTTP 404
Cadaval;Lisboa;OSM:gis_osm_places_a_free_1;data/Lisboa/Cadaval/OSM_gis_osm_places_a_free_1_Cadaval.zip;http://localhost:8000/data/Lisboa/Cadaval/OSM_gis_osm_places_a_free_1_Cadaval.zip;HTTP 404
Lourinhã;Lisboa;OSM:gis_osm_railways_free_1;data/Lisboa/Lourinhã/OSM_gis_osm_railways_free_1_Lourinhã.zip;http://localhost:8000/data/Lisboa/Lourinh%C3%A3/OSM_gis_osm_railways_free_1_Lourinh%C3%A3.zip;HTTP 404
Sobral de Monte Agraço;Lisboa;OSM:gis_osm_places_a_free_1;data/Lisboa/Sobral_de_Monte_Agraço/OSM_gis_osm_places_a_free_1_Sobral_de_Monte_Agraço.zip;http://localhost:8000/data/Lisboa/Sobral_de_Monte_Agra%C3%A7o/OSM_gis_osm_places_a_free_1_Sobral_de_Monte_Agra%C3%A7o.zip;HTTP 404
Alter do Chão;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Alter_do_Chão/OSM_gis_osm_natural_a_free_1_Alter_do_Chão.zip;http://localhost:8000/data/Portalegre/Alter_do_Ch%C3%A3o/OSM_gis_osm_natural_a_free_1_Alter_do_Ch%C3%A3o.zip;HTTP 404
Arronches;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Arronches/OSM_gis_osm_natural_a_free_1_Arronches.zip;http://localhost:8000/data/Portalegre/Arronches/OSM_gis_osm_natural_a_free_1_Arronches.zip;HTTP 404
Avis;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Avis/OSM_gis_osm_natural_a_free_1_Avis.zip;http://localhost:8000/data/Portalegre/Avis/OSM_gis_osm_natural_a_free_1_Avis.zip;HTTP 404
Avis;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Avis/OSM_gis_osm_places_a_free_1_Avis.zip;http://localhost:8000/data/Portalegre/Avis/OSM_gis_osm_places_a_free_1_Avis.zip;HTTP 404
Avis;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Avis/OSM_gis_osm_protected_areas_a_free_1_Avis.zip;http://localhost:8000/data/Portalegre/Avis/OSM_gis_osm_protected_areas_a_free_1_Avis.zip;HTTP 404
Avis;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Avis/OSM_gis_osm_railways_free_1_Avis.zip;http://localhost:8000/data/Portalegre/Avis/OSM_gis_osm_railways_free_1_Avis.zip;HTTP 404
Campo Maior;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Campo_Maior/OSM_gis_osm_natural_a_free_1_Campo_Maior.zip;http://localhost:8000/data/Portalegre/Campo_Maior/OSM_gis_osm_natural_a_free_1_Campo_Maior.zip;HTTP 404
Campo Maior;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Campo_Maior/OSM_gis_osm_protected_areas_a_free_1_Campo_Maior.zip;http://localhost:8000/data/Portalegre/Campo_Maior/OSM_gis_osm_protected_areas_a_free_1_Campo_Maior.zip;HTTP 404
Castelo de Vide;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Castelo_de_Vide/OSM_gis_osm_natural_a_free_1_Castelo_de_Vide.zip;http://localhost:8000/data/Portalegre/Castelo_de_Vide/OSM_gis_osm_natural_a_free_1_Castelo_de_Vide.zip;HTTP 404
Castelo de Vide;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Castelo_de_Vide/OSM_gis_osm_places_a_free_1_Castelo_de_Vide.zip;http://localhost:8000/data/Portalegre/Castelo_de_Vide/OSM_gis_osm_places_a_free_1_Castelo_de_Vide.zip;HTTP 404
Castelo de Vide;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Castelo_de_Vide/OSM_gis_osm_railways_free_1_Castelo_de_Vide.zip;http://localhost:8000/data/Portalegre/Castelo_de_Vide/OSM_gis_osm_railways_free_1_Castelo_de_Vide.zip;HTTP 404
Crato;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Crato/OSM_gis_osm_natural_a_free_1_Crato.zip;http://localhost:8000/data/Portalegre/Crato/OSM_gis_osm_natural_a_free_1_Crato.zip;HTTP 404
Crato;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Crato/OSM_gis_osm_places_a_free_1_Crato.zip;http://localhost:8000/data/Portalegre/Crato/OSM_gis_osm_places_a_free_1_Crato.zip;HTTP 404
Crato;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Crato/OSM_gis_osm_protected_areas_a_free_1_Crato.zip;http://localhost:8000/data/Portalegre/Crato/OSM_gis_osm_protected_areas_a_free_1_Crato.zip;HTTP 404
Elvas;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Elvas/OSM_gis_osm_natural_a_free_1_Elvas.zip;http://localhost:8000/data/Portalegre/Elvas/OSM_gis_osm_natural_a_free_1_Elvas.zip;HTTP 404
Fronteira;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Fronteira/OSM_gis_osm_natural_a_free_1_Fronteira.zip;http://localhost:8000/data/Portalegre/Fronteira/OSM_gis_osm_natural_a_free_1_Fronteira.zip;HTTP 404
Fronteira;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Fronteira/OSM_gis_osm_places_a_free_1_Fronteira.zip;http://localhost:8000/data/Portalegre/Fronteira/OSM_gis_osm_places_a_free_1_Fronteira.zip;HTTP 404
Fronteira;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Fronteira/OSM_gis_osm_railways_free_1_Fronteira.zip;http://localhost:8000/data/Portalegre/Fronteira/OSM_gis_osm_railways_free_1_Fronteira.zip;HTTP 404
Gavião;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Gavião/OSM_gis_osm_places_a_free_1_Gavião.zip;http://localhost:8000/data/Portalegre/Gavi%C3%A3o/OSM_gis_osm_places_a_free_1_Gavi%C3%A3o.zip;HTTP 404
Gavião;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Gavião/OSM_gis_osm_protected_areas_a_free_1_Gavião.zip;http://localhost:8000/data/Portalegre/Gavi%C3%A3o/OSM_gis_osm_protected_areas_a_free_1_Gavi%C3%A3o.zip;HTTP 404
Marvão;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Marvão/OSM_gis_osm_places_a_free_1_Marvão.zip;http://localhost:8000/data/Portalegre/Marv%C3%A3o/OSM_gis_osm_places_a_free_1_Marv%C3%A3o.zip;HTTP 404
Marvão;Portalegre;OSM:gis_osm_railways_free_1;data/Portalegre/Marvão/OSM_gis_osm_railways_free_1_Marvão.zip;http://localhost:8000/data/Portalegre/Marv%C3%A3o/OSM_gis_osm_railways_free_1_Marv%C3%A3o.zip;HTTP 404
Nisa;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Nisa/OSM_gis_osm_natural_a_free_1_Nisa.zip;http://localhost:8000/data/Portalegre/Nisa/OSM_gis_osm_natural_a_free_1_Nisa.zip;HTTP 404
Ponte de Sor;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Ponte_de_Sor/OSM_gis_osm_natural_a_free_1_Ponte_de_Sor.zip;http://localhost:8000/data/Portalegre/Ponte_de_Sor/OSM_gis_osm_natural_a_free_1_Ponte_de_Sor.zip;HTTP 404
Ponte de Sor;Portalegre;OSM:gis_osm_places_a_free_1;data/Portalegre/Ponte_de_Sor/OSM_gis_osm_places_a_free_1_Ponte_de_Sor.zip;http://localhost:8000/data/Portalegre/Ponte_de_Sor/OSM_gis_osm_places_a_free_1_Ponte_de_Sor.zip;HTTP 404
Ponte de Sor;Portalegre;OSM:gis_osm_protected_areas_a_free_1;data/Portalegre/Ponte_de_Sor/OSM_gis_osm_protected_areas_a_free_1_Ponte_de_Sor.zip;http://localhost:8000/data/Portalegre/Ponte_de_Sor/OSM_gis_osm_protected_areas_a_free_1_Ponte_de_Sor.zip;HTTP 404
Portalegre;Portalegre;OSM:gis_osm_natural_a_free_1;data/Portalegre/Portalegre/OSM_gis_osm_natural_a_free_1_Portalegre.zip;http://localhost:8000/data/Portalegre/Portalegre/OSM_gis_osm_natural_a_free_1_Portalegre.zip;HTTP 404
